replicate_id,treatment,bits,operation,time,iterations,compile_time_optimizations
6,bit_vector,16,OR,7.312e+07,1000000,1
6,bit_vector,16,NAND,7.3892e+07,1000000,1
6,bit_vector,16,NOR,7.4389e+07,1000000,1
6,bit_vector,16,XOR,7.2482e+07,1000000,1
6,bit_vector,16,EQU,7.4404e+07,1000000,1
6,bit_vector,16,R_SHIFT_0.25l,7.3086e+07,1000000,1
6,bit_vector,16,R_SHIFT_0.5l,7.1305e+07,1000000,1
6,bit_vector,16,R_SHIFT_1l,7.2081e+07,1000000,1
6,bit_vector,16,L_SHIFT_0.25l,7.3065e+07,1000000,1
6,bit_vector,16,L_SHIFT_0.5l,7.3196e+07,1000000,1
6,bit_vector,16,L_SHIFT_1l,7.2114e+07,1000000,1
7,bit_vector,16,CountOnes_Mixed,6.396e+06,1000000,1
7,bit_vector,16,NOT,7.3546e+07,1000000,1
7,bit_vector,16,AND,7.3788e+07,1000000,1
7,bit_vector,16,OR,7.3097e+07,1000000,1
7,bit_vector,16,NAND,7.3339e+07,1000000,1
7,bit_vector,16,NOR,7.38e+07,1000000,1
7,bit_vector,16,XOR,7.2291e+07,1000000,1
7,bit_vector,16,EQU,7.4128e+07,1000000,1
7,bit_vector,16,R_SHIFT_0.25l,7.1724e+07,1000000,1
7,bit_vector,16,R_SHIFT_0.5l,7.1345e+07,1000000,1
7,bit_vector,16,R_SHIFT_1l,7.434e+07,1000000,1
7,bit_vector,16,L_SHIFT_0.25l,7.4147e+07,1000000,1
7,bit_vector,16,L_SHIFT_0.5l,7.1919e+07,1000000,1
7,bit_vector,16,L_SHIFT_1l,7.514e+07,1000000,1
8,bit_vector,16,CountOnes_Mixed,7.89e+06,1000000,1
8,bit_vector,16,NOT,7.3178e+07,1000000,1
8,bit_vector,16,AND,7.2895e+07,1000000,1
8,bit_vector,16,OR,7.3307e+07,1000000,1
8,bit_vector,16,NAND,7.4303e+07,1000000,1
8,bit_vector,16,NOR,7.3198e+07,1000000,1
8,bit_vector,16,XOR,7.3872e+07,1000000,1
8,bit_vector,16,EQU,7.5223e+07,1000000,1
8,bit_vector,16,R_SHIFT_0.25l,7.2787e+07,1000000,1
8,bit_vector,16,R_SHIFT_0.5l,7.2213e+07,1000000,1
8,bit_vector,16,R_SHIFT_1l,7.4805e+07,1000000,1
8,bit_vector,16,L_SHIFT_0.25l,7.1799e+07,1000000,1
8,bit_vector,16,L_SHIFT_0.5l,7.1859e+07,1000000,1
8,bit_vector,16,L_SHIFT_1l,7.3116e+07,1000000,1
9,bit_vector,16,CountOnes_Mixed,4.616e+06,1000000,1
9,bit_vector,16,NOT,7.3054e+07,1000000,1
9,bit_vector,16,AND,7.396e+07,1000000,1
9,bit_vector,16,OR,7.3297e+07,1000000,1
9,bit_vector,16,NAND,7.583e+07,1000000,1
9,bit_vector,16,NOR,7.5311e+07,1000000,1
9,bit_vector,16,XOR,7.4312e+07,1000000,1
9,bit_vector,16,EQU,7.1894e+07,1000000,1
9,bit_vector,16,R_SHIFT_0.25l,7.2629e+07,1000000,1
9,bit_vector,16,R_SHIFT_0.5l,7.1455e+07,1000000,1
9,bit_vector,16,R_SHIFT_1l,7.1981e+07,1000000,1
9,bit_vector,16,L_SHIFT_0.25l,7.328e+07,1000000,1
9,bit_vector,16,L_SHIFT_0.5l,7.2139e+07,1000000,1
9,bit_vector,16,L_SHIFT_1l,7.2717e+07,1000000,1
10,bit_vector,16,CountOnes_Mixed,1.0092e+07,1000000,1
10,bit_vector,16,NOT,9.6365e+07,1000000,1
10,bit_vector,16,AND,9.5981e+07,1000000,1
10,bit_vector,16,OR,7.6302e+07,1000000,1
10,bit_vector,16,NAND,7.2771e+07,1000000,1
10,bit_vector,16,NOR,7.7077e+07,1000000,1
10,bit_vector,16,XOR,7.3035e+07,1000000,1
10,bit_vector,16,EQU,7.4563e+07,1000000,1
10,bit_vector,16,R_SHIFT_0.25l,7.2857e+07,1000000,1
10,bit_vector,16,R_SHIFT_0.5l,7.0861e+07,1000000,1
10,bit_vector,16,R_SHIFT_1l,7.1249e+07,1000000,1
10,bit_vector,16,L_SHIFT_0.25l,7.3442e+07,1000000,1
